"Severity","Time","Recovery time","Status","Host","Problem","Duration","Ack","Actions","Tags"
"Average","2026-05-08 05:57:45 PM","2026-05-08 06:03:48 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/0(TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS): Link down","6m 3s","No","Actions (4)","alerttype: availability, alias: TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/0, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-07 10:04:48 PM","2026-05-07 10:04:48 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/0(TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS): Zero bandwidth usage","0","No","Actions (4)","alerttype: capacity, alias: TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/0, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"Average","2026-05-07 09:52:59 PM","2026-05-07 10:06:59 PM","RESOLVED","BHS-NAS-MPLS01","Interface xe-2/0/0(TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS): Link down","14m","Yes","Messages (1), Actions (5)","alerttype: availability, alias: TO-BVI-PAL-MPLS01-xe-2/0/9_16829.TR_BKBN_MPLS, class: network, component: interface, country: bahamas, interface: xe-2/0/0, ip: 190.242.4.16, opgr: b2bnoc, template: junipermplslsp, vendor: juniper"
"High","2026-05-07 02:06:09 PM","2026-05-07 02:08:09 PM","RESOLVED","BHS-NAS-MPLS01","ICMP: Unavailable by ICMP ping","2m","No","Actions (4)","alerttype: availability, class: network, component: icmp, country: bahamas, ip: 190.242.4.16, lla: icmp, lla: pingnetwork, opgr: b2bnoc, target: snmp, template: junipermplslsp, vendor: juniper"
"Warning","2026-04-23 05:05:09 AM","2026-04-23 05:14:09 AM","RESOLVED","BHS-NAS-MPLS01","Generic SNMP: BHS-NAS-MPLS01 has been restarted (uptime < 10m)","9m","No","Actions (4)","alerttype: availability, class: network, component: system, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, target: snmp, vendor: juniper"
"High","2026-04-23 01:05:09 AM","2026-04-23 01:06:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-23 01:02:09 AM","2026-04-23 01:03:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 10:03:09 PM","2026-04-23 01:00:09 AM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2h 57m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 10:00:09 PM","2026-04-22 10:02:10 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m 1s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:56:09 PM","2026-04-22 09:59:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:53:09 PM","2026-04-22 09:55:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:50:09 PM","2026-04-22 09:52:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","2m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:48:09 PM","2026-04-22 09:49:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:44:09 PM","2026-04-22 09:45:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 09:40:09 PM","2026-04-22 09:43:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 07:18:09 PM","2026-04-22 07:19:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 07:07:09 PM","2026-04-22 07:08:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","1m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 07:00:09 PM","2026-04-22 07:03:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 06:56:09 PM","2026-04-22 06:59:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","3m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 06:51:09 PM","2026-04-22 06:55:09 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","4m","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
"High","2026-04-22 06:36:09 PM","2026-04-22 06:50:10 PM","RESOLVED","BHS-NAS-MPLS01","Juniper: System status is in critical state","14m 1s","No","Actions (4)","alerttype: health, class: network, component: health, country: bahamas, ip: 190.242.4.16, opgr: b2bnoc, vendor: juniper"
